model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,confusion_matrix
Random Forest Tuned,0.8929440389294404,0.6482412060301508,0.675392670157068,0.6615384615384615,0.9231919084322335,1944,140,124,258,"[[1944, 140], [124, 258]]"
CatBoost,0.9018653690186537,0.7272727272727273,0.5863874345549738,0.6492753623188405,0.9294839264000965,2000,84,158,224,"[[2000, 84], [158, 224]]"
Logistic Regression,0.8588807785888077,0.5291095890410958,0.8089005235602095,0.639751552795031,0.9203366964456191,1809,275,73,309,"[[1809, 275], [73, 309]]"
Random Forest,0.8978102189781022,0.7304964539007093,0.5392670157068062,0.6204819277108434,0.9202387173277327,2008,76,176,206,"[[2008, 76], [176, 206]]"
