iter	Passed	Remaining
375	2636	869
376	2642	862
377	2649	855
378	2656	848
379	2662	840
380	2669	833
381	2676	826
382	2682	819
383	2688	812
384	2695	805
385	2702	798
386	2708	790
387	2715	783
388	2721	776
389	2727	769
390	2734	762
391	2740	755
392	2747	748
393	2753	740
394	2760	733
395	2766	726
396	2772	719
397	2780	712
398	2786	705
399	2792	698
400	2799	691
401	2805	683
402	2812	677
403	2819	669
404	2826	662
405	2832	655
406	2839	648
407	2845	641
408	2851	634
409	2858	627
410	2865	620
411	2871	613
412	2878	606
413	2884	599
414	2891	592
415	2897	585
416	2903	577
417	2910	570
418	2916	563
419	2923	556
420	2929	549
421	2936	542
422	2942	535
423	2949	528
424	2956	521
425	2962	514
426	2969	507
427	2975	500
428	2981	493
429	2988	486
430	2995	479
431	3001	472
432	3008	465
433	3014	458
434	3020	451
435	3027	444
436	3033	437
437	3040	430
438	3046	423
439	3053	416
440	3059	409
441	3065	402
442	3072	395
443	3078	388
444	3085	381
445	3091	374
446	3098	367
447	3104	360
448	3110	353
449	3116	346
450	3123	339
451	3129	332
452	3135	325
453	3141	318
454	3148	311
455	3154	304
456	3160	297
457	3166	290
458	3173	283
459	3179	276
460	3185	269
461	3192	262
462	3198	255
463	3204	248
464	3211	241
465	3217	234
466	3223	227
467	3230	220
468	3236	213
469	3242	206
470	3249	200
471	3255	193
472	3261	186
473	3267	179
474	3274	172
475	3280	165
476	3286	158
477	3293	151
478	3299	144
479	3306	137
480	3312	130
481	3319	123
482	3325	117
483	3331	110
484	3338	103
485	3344	96
486	3350	89
487	3356	82
488	3363	75
489	3370	68
490	3376	61
491	3382	55
492	3389	48
493	3396	41
494	3403	34
495	3409	27
496	3416	20
497	3423	13
498	3429	6
499	3436	0
