iter	F1	Logloss
194	0.7474674385	0.1840103499
195	0.7451122375	0.1838089849
196	0.7448425624	0.1836994688
197	0.7451122375	0.1836773158
198	0.7451122375	0.183471913
199	0.7455664133	0.1833472624
200	0.7457504521	0.1830608986
201	0.7462039046	0.1829504899
202	0.7480144404	0.1827887996
203	0.7471098266	0.182768403
204	0.7487364621	0.182651322
205	0.7489177489	0.1825025439
206	0.7499097799	0.1823621488
207	0.7487364621	0.1821379911
208	0.7487364621	0.1820840772
209	0.7491880188	0.181871837
210	0.7498197549	0.1816185151
211	0.7497299244	0.1814356154
212	0.7506297229	0.1812035432
213	0.7501799856	0.1810098903
214	0.750990991	0.1808422234
215	0.7514409222	0.1806653583
216	0.7528818444	0.1804753396
217	0.7528818444	0.180236478
218	0.7520750632	0.1800523105
219	0.7518037518	0.1797967709
220	0.7525252525	0.1795348083
221	0.7544175983	0.1793364744
222	0.7544175983	0.1791729809
223	0.7548666186	0.1790273566
224	0.7544175983	0.1790032883
225	0.7557636888	0.1787862628
226	0.7557636888	0.1786660526
227	0.7562117393	0.1785654734
228	0.7569319409	0.1784184303
229	0.757204611	0.1783466044
230	0.7567567568	0.1781687481
231	0.756036036	0.1779783556
232	0.7570295602	0.1777415428
233	0.7584715213	0.1775558517
234	0.757204611	0.1773294405
235	0.7586455331	0.1772086182
236	0.7590925459	0.1770188094
237	0.7593659942	0.1768027937
238	0.7598127476	0.176774428
239	0.7608069164	0.1765136462
240	0.7608069164	0.1763380655
241	0.7605329492	0.1761704802
242	0.7616990641	0.1758954442
243	0.7620416966	0.1756320719
244	0.7617678764	0.1754023714
245	0.7624865253	0.1752309772
246	0.7640933573	0.1750380652
247	0.7640933573	0.1748986616
248	0.7640933573	0.1747545742
249	0.7645788337	0.1745630672
250	0.7650233897	0.174453277
251	0.7652987761	0.1743249577
252	0.7651923768	0.1741372731
253	0.7658045977	0.1739234093
254	0.7670740474	0.1737170231
255	0.7672413793	0.1734330098
256	0.7669658887	0.1732479808
257	0.7669658887	0.1731167917
258	0.7669658887	0.1729171796
259	0.7678507356	0.1727926263
260	0.7685683531	0.1726027376
261	0.7688442211	0.172483624
262	0.7701685192	0.1723887077
263	0.770609319	0.1722741207
264	0.7720430108	0.1720168548
265	0.771602725	0.1718331225
266	0.771602725	0.1716893238
267	0.7722063037	0.1715650347
268	0.7737540337	0.1713186112
269	0.7737540337	0.1712533551
270	0.7743553009	0.1710266941
271	0.7734767025	0.1709623629
272	0.7746327481	0.1708133155
273	0.7753493372	0.1706906756
274	0.7753493372	0.1705120313
275	0.7760659262	0.1703325057
276	0.7764621457	0.1700614858
277	0.7759053424	0.1698631002
278	0.7770609319	0.1697666925
279	0.7773395482	0.1696378458
280	0.7776183644	0.16939317
281	0.7776183644	0.1692165133
282	0.7780566511	0.1690335194
283	0.7792114695	0.1687809908
284	0.7778973807	0.1684875884
285	0.7791741472	0.1684445962
286	0.7794908569	0.1682794025
287	0.7806451613	0.1680568927
288	0.7813620072	0.1678369961
289	0.7817986385	0.167727349
290	0.7829512894	0.1675648939
291	0.7826709631	0.1673985081
292	0.7835420394	0.1672061228
293	0.7838224767	0.1670448438
294	0.7846924177	0.1668306204
295	0.7846924177	0.1666317422
296	0.7838224767	0.1664866588
297	0.7846924177	0.1661197764
298	0.7846924177	0.1659499704
299	0.7854077253	0.1657712799
300	0.7864042934	0.1654711722
301	0.7866857552	0.1652657365
302	0.7869674185	0.1651013398
303	0.7874015748	0.1649295217
304	0.7874015748	0.1647614878
305	0.7878354204	0.1645091622
306	0.7878354204	0.1643449624
307	0.7879871291	0.1641143274
308	0.7884203002	0.1639063099
309	0.7885509839	0.1637996212
310	0.7885509839	0.1636533332
311	0.7889842632	0.1634989443
312	0.7898498928	0.1634208794
313	0.7895677028	0.1632124433
314	0.7902822437	0.1630420661
315	0.7908636688	0.1629251159
316	0.7909967846	0.1628039028
317	0.7914285714	0.1626280581
318	0.7917113255	0.1624288822
319	0.792992492	0.1622730418
320	0.791130186	0.1620369273
321	0.7912794853	0.1618743492
322	0.7927220835	0.1616443711
323	0.7925740807	0.1615036167
324	0.7927220835	0.161345814
325	0.7935714286	0.1611841915
326	0.7937187723	0.1611045389
327	0.7945694891	0.1609193785
328	0.7957142857	0.1607807572
329	0.7947161728	0.1606693277
330	0.7948534668	0.1605141476
331	0.7957142857	0.1603887
332	0.795568263	0.1602737246
333	0.795568263	0.1602068222
334	0.795568263	0.1600685945
335	0.7962830593	0.1599230737
336	0.7962830593	0.1598231889
337	0.7965677512	0.1596913589
338	0.7965677512	0.1595869402
339	0.7962830593	0.1595398302
340	0.7968526466	0.1594167814
341	0.7991422445	0.1593018459
342	0.7987129067	0.1591012098
343	0.7987129067	0.1590832061
344	0.7987129067	0.1590078925
345	0.8	0.1588185845
346	0.8002858164	0.1587304911
347	0.799713877	0.158606979
348	0.799713877	0.1583653574
349	0.799713877	0.1581247211
350	0.799713877	0.1580539512
351	0.8008580622	0.1579024006
352	0.8011444921	0.1576263819
353	0.8020014296	0.1575566469
354	0.8020014296	0.157425548
355	0.8012866333	0.1571882175
356	0.8015731141	0.1570352362
357	0.8015731141	0.1570234383
358	0.8011444921	0.1568369014
359	0.8020014296	0.1567206421
360	0.8028571429	0.1565942525
361	0.8032845412	0.1565314772
362	0.8042780749	0.1564368046
363	0.8042780749	0.1562404211
364	0.8037116345	0.1561056393
365	0.8045649073	0.155920313
366	0.8051391863	0.1557485717
367	0.8051391863	0.1556611601
368	0.8064171123	0.1554263647
369	0.8072675454	0.1552798469
370	0.8079800499	0.1551010961
371	0.8088287647	0.1549362479
372	0.8068424804	0.1547531622
373	0.8067047076	0.1545532522
374	0.8067047076	0.1545384855
375	0.8072675454	0.1543869186
376	0.8068424804	0.1542325023
377	0.8079800499	0.1541198152
378	0.8091168091	0.1539499703
379	0.8094050588	0.1538016512
380	0.8095407618	0.1536171142
381	0.8098290598	0.1535181398
382	0.8101175632	0.1533849734
383	0.8105413105	0.153290196
384	0.8101175632	0.153170206
385	0.8114081996	0.1530407426
386	0.8114081996	0.1529286469
387	0.811831789	0.1527917556
388	0.811965812	0.1525980563
389	0.8122550766	0.1524794393
390	0.8122550766	0.1523901275
391	0.8122550766	0.1522659227
392	0.812967581	0.152179866
393	0.8133903134	0.1520836627
394	0.8136800855	0.152001086
395	0.8136800855	0.1518947312
396	0.8136800855	0.151749881
397	0.8149466192	0.1515147493
398	0.8149466192	0.1514961362
399	0.8149466192	0.1513774699
400	0.8150782361	0.1513042694
401	0.8157894737	0.1511914643
402	0.8162104515	0.1510300515
403	0.8166311301	0.1508870448
404	0.8165007112	0.1506441754
405	0.8175026681	0.1504739237
406	0.8176324209	0.1504011072
407	0.818601349	0.1501822613
408	0.818601349	0.1501536478
409	0.8188920455	0.1500697562
410	0.8191829485	0.1498820792
411	0.8198934281	0.149793674
412	0.8208955224	0.1496681418
413	0.8204763598	0.1495108814
414	0.8213143872	0.149450261
415	0.8213143872	0.1492624663
416	0.822569198	0.1490570669
417	0.822569198	0.1490388228
418	0.823571175	0.148911972
419	0.823571175	0.1487949592
420	0.8231534091	0.1486564047
421	0.8239886444	0.1485694118
422	0.8246983676	0.1484840879
423	0.8251152891	0.1483668178
424	0.8251152891	0.1482706058
425	0.8262411348	0.1481605039
426	0.8267800213	0.1479577065
427	0.8279036827	0.1478516971
428	0.8279036827	0.1477149377
429	0.8281969536	0.1475429674
430	0.8289054198	0.1473893086
431	0.8289054198	0.1473387532
432	0.8291991495	0.1472416388
433	0.8291991495	0.1472014336
434	0.829787234	0.1470713169
435	0.8293721178	0.1469483868
436	0.8294930876	0.1468576679
437	0.830202056	0.1466571772
438	0.830202056	0.146529877
439	0.830616584	0.1464157111
440	0.830616584	0.1463877122
441	0.8310308183	0.14629786
442	0.8318584071	0.1461615752
443	0.8314447592	0.1460308471
444	0.8314447592	0.1458426452
445	0.8320340184	0.1457259988
446	0.8317392844	0.1455803801
447	0.8324477506	0.1454404434
448	0.8335694051	0.1453969434
449	0.8339823009	0.1453351226
450	0.8336871904	0.1452108667
451	0.8340997524	0.1450522196
452	0.8343949045	0.1449388996
453	0.8343949045	0.1448357014
454	0.8348072161	0.1447408517
455	0.8345120226	0.1445725231
456	0.8349240014	0.144403378
457	0.835630965	0.14427924
458	0.8352192362	0.1441690206
459	0.835630965	0.1440065241
460	0.835630965	0.1439132457
461	0.8350406217	0.1438569637
462	0.8360424028	0.1436573668
463	0.835630965	0.143478176
464	0.8360424028	0.1433925735
465	0.8367491166	0.1432380772
466	0.8367491166	0.1431303372
467	0.8367491166	0.1430280073
468	0.8371600141	0.1429216636
469	0.8375706215	0.1428106077
470	0.8382768362	0.1426635398
471	0.8390966831	0.1425031988
472	0.8399153738	0.1424690598
473	0.8399153738	0.1424619227
474	0.8399153738	0.1424232142
475	0.8399153738	0.142241385
476	0.8390966831	0.1420525541
477	0.8402116402	0.1418813038
478	0.8405081157	0.1417243527
479	0.841213832	0.141578671
480	0.841213832	0.1414183005
481	0.841213832	0.1413606134
482	0.841622575	0.1412762603
483	0.8419195483	0.1411819293
484	0.8419195483	0.1411338541
485	0.8419195483	0.1410464055
486	0.8419195483	0.1409033722
487	0.8419195483	0.1407670822
488	0.841622575	0.1406742535
489	0.841622575	0.1405095292
490	0.8420310296	0.1404416827
491	0.841622575	0.1402758346
492	0.841622575	0.1401150453
493	0.8428470754	0.1399549061
494	0.8428470754	0.1399419183
495	0.8420310296	0.1398095768
496	0.8431441664	0.1395612934
497	0.8427362482	0.1394215491
498	0.8423280423	0.1392278663
499	0.8430335097	0.1391454903
